TimeStamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
0.0,-6.279,-10.543,-16.578,2.651
0.0039,-0.346,-26.441,-16.228,0.24
0.0078,-4.815,-9.456,-16.377,-8.636
0.0117,-0.493,-14.506,-9.809,-9.993
0.0156,3.57,-7.063,2.351,-2.568
0.0195,-13.01,-16.585,-10.027,0.159
0.0234,5.124,-13.022,-6.744,0.062
0.0273,5.705,-13.072,-1.59,-8.686
0.0312,7.604,6.637,-1.537,-2.658
0.0352,12.35,2.17,7.024,-6.161
0.0391,0.246,-0.12,2.453,3.493
0.043,15.985,6.001,4.957,-3.508
0.0469,3.98,12.318,11.39,10.929
0.0508,6.645,12.239,15.567,1.492
0.0547,8.052,1.062,14.345,-10.119
0.0586,1.666,11.858,10.317,6.605
0.0625,12.66,10.742,23.173,9.804
0.0664,4.053,12.048,15.098,1.887
0.0703,-4.181,7.016,9.513,14.473
0.0742,5.489,8.204,13.636,3.103
0.0781,-0.726,21.546,8.485,-5.164
0.082,3.381,11.531,13.361,-2.935
0.0859,-0.611,14.461,5.772,-2.202
0.0898,6.888,12.815,8.398,-1.998
0.0938,8.693,11.394,1.627,-9.197
0.0977,2.822,3.19,7.965,3.174
0.1016,3.802,8.046,11.751,-4.938
0.1055,-0.107,2.822,-5.67,-2.698
0.1094,-1.509,5.794,-2.483,-2.728
0.1133,8.063,-0.61,-0.828,-3.892
0.1172,2.53,3.305,-6.047,4.101
0.1211,-3.427,0.55,-2.483,8.127
0.125,4.295,-1.859,4.336,7.036
0.1289,3.271,6.347,3.341,-4.09
0.1328,-5.683,1.246,0.866,10.379
0.1367,5.484,-1.247,-8.318,9.07
0.1406,-9.499,-3.356,-2.155,6.262
0.1445,-7.703,-6.261,-4.44,2.114
0.1484,-2.87,-6.154,-0.355,-0.189
0.1523,-9.206,2.91,-5.741,9.738
0.1562,-8.483,-4.558,-9.92,0.618
0.1602,-0.465,-4.167,-4.405,-3.392
0.1641,-4.091,-9.947,-14.378,-0.897
0.168,-4.242,-9.985,-7.976,7.492
0.1719,-10.277,-18.26,-7.27,5.728
0.1758,-11.892,-15.632,-5.587,4.629
0.1797,-8.542,-3.109,4.664,-5.522
0.1836,-11.808,-9.706,-10.58,1.956
0.1875,-17.102,-10.171,-13.416,1.354
0.1914,-12.578,-7.862,-3.74,2.708
0.1953,-9.546,-14.851,1.285,-0.753
0.1992,-4.734,-11.084,-0.569,-5.58
0.2031,-13.757,4.964,-5.424,-1.172
0.207,-6.461,0.958,7.764,-10.142
0.2109,-9.8,-1.961,5.718,7.183
0.2148,-7.85,8.103,1.588,4.698
0.2188,-0.111,-1.142,-2.522,-1.746
0.2227,17.036,3.196,11.474,12.718
0.2266,-2.841,-1.913,9.012,7.091
0.2305,-1.648,3.967,9.013,3.309
0.2344,-2.296,13.441,18.341,7.636
0.2383,6.809,13.675,14.961,-1.695
0.2422,16.821,11.294,18.581,6.922
0.2461,0.562,9.465,19.541,2.064
0.25,21.345,11.071,9.302,5.755
0.2539,14.046,14.716,19.186,6.778
0.2578,0.852,8.535,8.185,5.464
0.2617,11.892,17.256,13.755,2.912
0.2656,17.172,1.841,6.567,4.345
0.2695,9.456,2.839,12.182,-0.543
0.2734,12.849,6.165,6.051,-5.616
0.2773,9.879,0.964,10.189,-2.328
0.2812,8.919,3.176,8.977,-6.735
0.2852,0.612,8.991,4.978,11.654
0.2891,6.611,6.004,9.856,-3.121
0.293,0.668,-1.117,-9.428,6.824
0.2969,-1.113,0.831,-10.853,-6.468
0.3008,-10.775,4.828,-2.218,-2.75
0.3047,-11.281,-5.769,5.515,3.171
0.3086,-2.792,-6.424,-13.931,-8.862
0.3125,-6.663,-8.194,-7.297,8.461
0.3164,-3.62,-14.411,-14.261,-2.637
0.3203,-5.415,-12.527,-6.938,-10.082
0.3242,-11.877,-9.867,-9.637,-1.687
0.3281,-11.294,-11.351,-9.973,-9.233
0.332,-3.627,-6.238,-17.625,-2.593
0.3359,-8.863,-6.437,-8.856,-12.19
0.3398,-4.022,0.087,-13.4,-2.442
0.3438,-1.887,-7.013,-1.834,-7.806
0.3477,5.379,-5.568,-3.938,-12.477
0.3516,0.541,-7.504,7.011,-7.124
0.3555,3.838,-9.562,7.278,12.146
0.3594,-2.81,2.461,-3.519,-12.986
0.3633,-2.97,-5.947,-6.703,-1.646
0.3672,-6.029,7.88,-3.959,-5.024
0.3711,5.395,-2.78,4.844,5.498
0.375,-6.126,5.944,3.948,-10.159
0.3789,-2.995,-3.376,-8.989,-2.552
0.3828,-11.333,6.288,-4.363,-3.434
0.3867,-3.041,3.898,5.27,-4.001
0.3906,0.136,-2.595,6.053,-4.79
0.3945,-3.975,6.494,-10.506,-2.857
0.3984,-1.968,6.963,-0.393,2.851
0.4023,3.64,6.844,5.565,7.892
0.4062,3.72,5.89,-9.45,-4.072
0.4102,-7.786,12.398,8.008,6.211
0.4141,-1.35,6.334,-0.59,0.873
0.418,1.211,12.367,5.123,11.049
0.4219,2.651,15.449,8.84,6.077
0.4258,-0.813,12.025,2.749,19.773
0.4297,-4.418,7.206,9.903,1.53
0.4336,11.672,8.163,1.589,-0.033
0.4375,-0.259,1.452,8.354,8.509
0.4414,-1.826,0.624,7.259,14.003
0.4453,6.358,7.991,3.886,7.677
0.4492,-7.967,8.458,-3.107,6.043
0.4531,4.69,-6.76,1.031,4.382
0.457,-4.987,-14.234,-3.13,0.569
0.4609,4.053,1.223,-0.674,11.018
0.4648,0.831,-4.653,-13.535,3.991
0.4688,-11.487,-10.185,-4.455,8.968
0.4727,-2.536,-7.891,-8.231,-3.492
0.4766,2.49,-3.9,-6.14,-0.965
0.4805,-10.367,-11.793,-22.622,-10.741
0.4844,-9.224,-5.754,-10.577,-19.506
0.4883,-11.963,-12.214,-13.423,-5.579
0.4922,-10.825,-6.16,-10.173,-10.647
0.4961,-5.923,-15.508,-10.886,-8.151
0.5,-5.518,-9.605,-5.83,-6.066
0.5039,-13.263,-10.855,-13.432,-11.19
0.5078,-12.265,-3.337,-8.405,-7.17
0.5117,-14.909,-13.843,-9.566,-8.266
0.5156,-3.182,-4.554,-7.365,-6.517
0.5195,-4.722,-16.04,2.487,1.083
0.5234,-11.889,-6.908,-7.182,-7.124
0.5273,-5.922,-7.09,0.644,-4.794
0.5312,11.428,-0.774,5.524,-4.294
0.5352,-4.049,-3.941,-6.352,-4.679
0.5391,-1.327,3.856,-4.555,-3.179
0.543,-0.14,9.26,3.744,3.611
0.5469,1.796,-2.56,-0.086,-2.559
0.5508,12.086,0.182,8.849,3.55
0.5547,13.852,12.772,13.359,8.14
0.5586,11.678,13.806,11.719,2.925
0.5625,9.164,15.248,19.729,12.73
0.5664,11.194,9.682,11.721,4.094
