TimeStamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
0.0,-1.225,-3.054,12.032,22.821
0.0039,15.181,-2.891,-17.437,4.907
0.0078,-15.882,-5.822,7.072,13.52
0.0117,8.336,-8.29,25.438,16.341
0.0156,-6.835,-4.142,10.706,-0.262
0.0195,2.497,-10.121,25.824,9.973
0.0234,12.912,9.461,7.388,0.959
0.0273,11.502,4.382,9.951,6.021
0.0312,10.828,-8.807,3.923,-7.803
0.0352,21.505,4.487,-10.817,22.552
0.0391,3.016,-9.999,-5.607,3.104
0.043,-4.693,-13.933,-2.911,1.737
0.0469,-5.467,-16.828,7.86,3.836
0.0508,6.83,-2.634,24.956,-8.53
0.0547,1.367,-16.39,7.878,1.802
0.0586,-4.209,-4.446,1.602,-27.762
0.0625,-13.713,-4.387,12.555,-9.867
0.0664,-5.769,-10.933,-0.875,-4.751
0.0703,-17.389,-4.922,-4.736,-7.945
0.0742,-0.378,-20.151,-23.805,-6.162
0.0781,-15.073,-23.898,-12.358,-26.663
0.082,-14.839,-8.56,-5.362,11.831
0.0859,2.386,9.148,5.643,-14.801
0.0898,-1.793,-19.194,-1.483,9.759
0.0938,-1.031,-13.706,-18.325,-2.811
0.0977,-16.076,8.026,-25.316,14.406
0.1016,3.969,-7.556,4.833,6.954
0.1055,20.744,-15.189,-1.763,6.95
0.1094,36.05,-0.788,-17.792,-2.764
0.1133,-13.769,-3.462,-5.613,1.916
0.1172,4.855,1.212,-6.883,17.292
0.1211,14.063,-0.029,-13.637,5.908
0.125,2.574,-1.562,-8.078,-3.762
0.1289,9.147,4.468,-12.338,-9.312
0.1328,-3.812,4.53,-3.787,13.305
0.1367,1.578,8.549,-2.818,-5.531
0.1406,7.299,13.729,-8.801,-15.28
0.1445,-16.629,-14.194,10.803,-6.857
0.1484,-12.054,10.507,-19.023,4.049
0.1523,-14.414,0.215,9.209,-7.065
0.1562,4.797,2.789,-8.799,1.244
0.1602,25.97,-3.933,-10.729,-4.695
0.1641,-10.73,22.084,4.683,-16.208
0.168,-1.883,6.684,-1.241,-15.505
0.1719,-7.592,7.306,-4.795,-2.446
